Vernier Format 2
Untitled.cmbl 10/2/17 4:47 PM .
Latest
Time	Position	Velocity	Acceleration
t	x	v	acc
s	m	m/s	m/s²

0	0.602994	0.44247	-0.696755802469
0.05	0.6258035	0.416459166667	-0.980212484568
0.1	0.646898	0.365752333333	-1.43053231481
0.15	0.6642195	0.279640277778	-1.97956521605
0.2	0.676053	0.160733611111	-2.41181932099
0.25	0.680855	0.0271541666667	-2.58312876543
0.3	0.678797	-0.107663888889	-2.49675416667
0.35	0.6697075	-0.232191944444	-2.16428765432
0.4	0.6546155	-0.332805277778	-1.61691682099
0.45	0.6350645	-0.399785555556	-0.917260339506
0.5	0.6131125	-0.4278925	-0.128466203704
0.55	0.590646	-0.414267777778	0.693251697531
0.6	0.5698945	-0.35672	1.4620375
0.65	0.5534305	-0.261346944444	2.07335030864
0.7	0.5427975	-0.140820555556	2.47997469136
0.75	0.538853	-0.00562138888889	2.67375910494
0.8	0.54194	0.135103888889	2.6237382716
0.85	0.55223	0.272685	2.21917824074
0.9	0.571095	0.370630555556	1.51417561728
0.95	0.591332	0.422271111111	0.77905462963
1	0.6137985	0.450282777778	-0.00942191358024
1.05	0.6384945	0.428083055556	-0.899316358025
1.1	0.658903	0.354338055556	-1.66243842593
1.15	0.6748525	0.252295555556	-2.21282638889
1.2	0.6851425	0.125290277778	-2.55175061728
1.25	0.6878865	-0.0130530555556	-2.64030601852
1.3	0.683599	-0.147966388889	-2.49172561728
1.35	0.672623	-0.270017222222	-2.12559429012
1.4	0.6559875	-0.371964444444	-1.5050712963
1.45	0.6333495	-0.428368888889	-0.707808024691
1.5	0.611226	-0.438849444444	0.060713117284
1.55	0.588931	-0.424367222222	0.865386882716
1.6	0.5664645	-0.357005833333	1.71219459877
1.65	0.5510295	-0.241624444444	2.31032731481
1.7	0.54194	-0.111093888889	2.57715802469
1.75	0.5397105	0.0256297222222	2.58467438272
1.8	0.544684	0.156541388889	2.35558425926
1.85	0.5561745	0.268588055556	1.93408595679
1.9	0.572467	0.356053055556	1.35013904321
1.95	0.593047	0.410361388889	0.610730555556
2	0.615342	0.420460833333	-0.205905864198
2.05	0.6367795	0.388161666667	-0.992582716049
2.1	0.6556445	0.317465555556	-1.68292314815
2.15	0.669879	0.2135175	-2.20647453704
2.2	0.6779395	0.0868933333333	-2.48833796296
2.25	0.678797	-0.0464002777778	-2.50067114198
2.3	0.672966	-0.1723575	-2.27353950617
2.35	0.660961	-0.2821175	-1.82853935185
2.4	0.6436395	-0.36358	-1.17863904321
2.45	0.6230595	-0.405978611111	-0.388945061728
2.5	0.601279	-0.40474	0.442724074074
2.55	0.5805275	-0.356053055556	1.15889537037
2.6	0.5647495	-0.280211944444	1.69276851852
2.65	0.551887	-0.184648333333	2.13681589506
2.7	0.545027	-0.0623116666667	2.4481625
2.75	0.5451985	0.0710772222222	2.50352947531
2.8	0.5524015	0.199035277778	2.28248503086
2.85	0.565607	0.311367777778	1.77290771605
2.9	0.585158	0.385970277778	1.03921589506
2.95	0.606081	0.416363888889	0.243699382716
3	0.628033	0.410647222222	-0.573307561728
3.05	0.6487845	0.361865	-1.40719984568
3.1	0.666449	0.26411	-2.07832592593
3.15	0.6765675	0.135485	-2.36172438272
3.2	0.6793115	0.0144822222222	-2.33806373457
3.25	0.6775965	-0.0987077777778	-2.23352283951
3.3	0.6697075	-0.212088333333	-2.0192537037
3.35	0.655816	-0.310319722222	-1.59251512346
3.4	0.6374655	-0.379681944444	-0.970668827161
3.45	0.616371	-0.412171666667	-0.226337654321
3.5	0.5945905	-0.403310833333	0.548905864198
3.55	0.574525	-0.355576666667	1.28026867284
3.6	0.5575465	-0.271065277778	1.89904490741
3.65	0.5462275	-0.157494166667	2.31757901235
3.7	0.541254	-0.0294408333333	2.49172561728
3.75	0.5431405	0.101756666667	2.41238040123
3.8	0.551887	0.221711388889	2.0880125
3.85	0.566293	0.317941944444	1.57266558642
3.9	0.584815	0.384541111111	0.91583117284
3.95	0.6062525	0.413315	0.174728858025
4	0.6278615	0.401214722222	-0.555628240741
4.05	0.6477555	0.353385277778	-1.20256435185
4.1	0.664048	0.279830833333	-1.8009087963
4.15	0.6772535	0.171309444444	-2.31604398148
4.2	0.682227	0.0383969444444	-2.59102623457
4.25	0.6813695	-0.101185	-2.54455185185
4.3	0.6717655	-0.231048611111	-2.15052530864
4.35	0.6566735	-0.325373611111	-1.53307237654
4.4	0.6378085	-0.385303333333	-0.852153858025
4.45	0.6168855	-0.410837777778	-0.137941049383
4.5	0.5956195	-0.4038825	0.65942808642
4.55	0.5743535	-0.347382777778	1.47463533951
4.6	0.5589185	-0.2461025	2.06170524691
4.65	0.549143	-0.127100555556	2.33589351852
4.7	0.546056	-0.00219138888889	2.35764861111
4.75	0.549486	0.112618333333	2.24024521605
