Vernier Format 2
Y-M1-T1.cmbl 10/2/17 3:38 PM .
Latest
Time	Position	Velocity	Acceleration
t	x	v	acc
s	m	m/s	m/s²

5.6	0.7393365	0.487155277778	-2.08065493827
5.65	0.764547	0.348145	-3.28533657407
5.7	0.7774095	0.141106388889	-4.02061635802
5.75	0.779639	-0.0884177777778	-4.00584830247
5.8	0.7664335	-0.281164722222	-3.42798858025
5.85	0.750484	-0.440659722222	-2.50548796296
5.9	0.7211575	-0.5565175	-1.05975354938
5.95	0.6896015	-0.559185277778	0.632697376543
6	0.6618185	-0.478294444444	2.0493720679
6.05	0.639695	-0.337855	3.0826595679
6.1	0.626318	-0.154731111111	3.69619552469
6.15	0.623231	0.0508783333333	3.81915679012
6.2	0.6316345	0.250008888889	3.38474305556
6.25	0.6498135	0.410456666667	2.4351412037
6.3	0.6751955	0.508592777778	1.11316203704
6.35	0.703836	0.528505833333	-0.375447376543
6.4	0.731276	0.468385555556	-1.79762700617
6.45	0.753571	0.3369975	-2.93180308642
6.5	0.766948	0.156446111111	-3.60721666667
6.55	0.770035	-0.0452569444444	-3.74632222222
6.6	0.762146	-0.239909444444	-3.3398566358
6.65	0.744653	-0.399309166667	-2.43794660494
6.7	0.7197855	-0.498874444444	-1.16567067901
6.75	0.6916595	-0.522312777778	0.273076697531
6.8	0.6645625	-0.470005277778	1.67366003086
6.85	0.641753	-0.346144166667	2.84499444444
6.9	0.62769	-0.167688888889	3.58159753086
6.95	0.6240885	0.0342047222222	3.77591126543
7	0.6312915	0.231715555556	3.42528904321
7.05	0.648613	0.396260277778	2.5808632716
7.1	0.6731375	0.504781666667	1.35453240741
7.15	0.701778	0.543464444444	-0.134923919753
7.2	0.731276	0.492490833333	-1.63221419753
7.25	0.754257	0.365199722222	-2.80794197531
7.3	0.769349	0.192651666667	-3.54052222222
7.35	0.774151	-0.000952777777778	-3.88759799383
7.4	0.770721	-0.217709722222	-3.67751049383
7.45	0.75117	-0.403501388889	-2.71340524691
7.5	0.726474	-0.505829722222	-1.32848981481
7.55	0.6978335	-0.5359375	0.127513425926
7.6	0.670222	-0.493443611111	1.5694367284
7.65	0.645183	-0.373107777778	2.82069861111
7.7	0.6302625	-0.190841388889	3.59038425926
7.75	0.6254605	0.0110522222222	3.76225478395
7.8	0.6316345	0.207038611111	3.38516651235
7.85	0.647584	0.3678675	2.54164058642
7.9	0.670565	0.474769166667	1.35522052469
7.95	0.6978335	0.512022777778	-0.0377405864197
8	0.7249305	0.471625	-1.43943549383
8.05	0.7479115	0.3592925	-2.62691419753
8.1	0.7630035	0.193128055556	-3.42068395062
8.15	0.7684915	-0.00362055555556	-3.69471342593
8.2	0.7626605	-0.200273888889	-3.38548410494
8.25	0.747054	-0.363294166667	-2.55677916667
8.3	0.724073	-0.470481666667	-1.36151944444
8.35	0.6971475	-0.506687222222	0.0173617283951
8.4	0.6703935	-0.468004444444	1.37925169753
8.45	0.647584	-0.360626388889	2.53782947531
8.5	0.632149	-0.199321111111	3.32784104938
8.55	0.6264895	-0.00867027777778	3.64178132716
8.6	0.63112	0.185410555556	3.44524444444
8.65	0.6460405	0.355576666667	2.7524691358
8.7	0.6686785	0.476007777778	1.65190493827
8.75	0.6957755	0.536604444444	0.193043364198
