Vernier Format 2
1_500g.cmbl 11/20/17 4:37 PM .
Latest
Time	Angle	Velocity	Acceleration
t	Angle	v	a
s	rad	rad/s	rad/s²

0	0	13.0317917482	4.46136322994
0.05	0.645771823238	13.2208690839	5.37227426856
0.1	1.308996939	13.5088484104	6.50781564609
0.15	1.98967534727	13.9141526478	6.91505913823
0.2	2.70526034059	14.2632184982	6.1889159803
0.25	3.42084533391	14.5153216124	5.67124270525
0.3	4.15388361975	14.8062098211	5.65615961294
0.35	4.9043751981	15.0583129353	6.12481283802
0.4	5.65486677646	15.397682512	6.95438291458
0.45	6.44026493986	15.8049260042	6.93283563987
0.5	7.24311639578	16.0958142128	6.7442969861
0.55	8.04596785169	16.4448800632	6.99209064534
0.6	8.88372589265	16.8424272817	6.50189014555
0.65	9.73893722613	17.1042266695	5.93088736557
0.7	10.5941485596	17.3660260573	6.46418241479
0.75	11.4668131856	17.7635732759	6.80893881025
0.8	12.3743843966	18.1029428526	6.27025694235
0.85	13.2819556077	18.3647422404	6.11942601934
0.9	14.2069801112	18.68471927	6.46418241479
0.95	15.1494579073	19.0240888467	6.60962651913
1	16.1093889959	19.3634584235	6.43186150272
1.05	17.086773377	19.683435453	5.97398191501
1.1	18.0816110507	19.9355385672	5.97398191501
1.15	19.0764487243	20.2555155968	6.43186150272
1.2	20.106192983	20.5948851735	6.60423970045
1.25	21.1359372417	20.9342547503	6.43186150272
1.3	22.2005880854	21.2542317798	5.97398191501
1.35	23.2652389291	21.506334894	5.97936873368
1.4	24.3473430653	21.8263119236	6.46418241479
1.45	25.4469004941	22.1656815003	6.74968380478
1.5	26.5639112154	22.5147473507	6.71736289271
1.55	27.6983752292	22.8541169275	6.28103057971
1.6	28.8502925355	23.1643976834	5.50532868993
1.65	30.0196631343	23.3874119767	5.1551854758
1.7	31.1890337331	23.6201225437	5.90395327218
1.75	32.3758576245	23.9594921204	6.90590154647
1.8	33.5801348084	24.3764318862	6.73352334874
1.85	34.8193185773	24.6964089157	5.44607368446
1.9	36.0585023462	24.8612455673	5.1551854758
1.95	37.2976861151	25.152133776	5.95782145897
2	38.5717764691	25.4818070791	6.42108786536
2.05	39.845866823	25.8211766559	6.39415377197
2.1	41.154863762	26.1411536854	5.96320827765
2.15	42.463860701	26.3932567996	5.93627418425
2.2	43.7903109325	26.7132338291	6.24332284896
2.25	45.1342144566	27.0429071323	6.09787874462
2.3	46.4955712731	27.3531878882	5.46762095918
2.35	47.8743813822	27.5762021815	5.14979865712
2.4	49.2531914913	27.8089127484	5.8985664535
2.45	50.6494548929	28.1482823252	6.8735806344
2.5	52.063171587	28.565222091	6.58269242573
2.55	53.5117948661	28.8755028469	5.11747774505
2.6	54.9604181453	29.0209469512	4.62727724526
2.65	56.4090414245	29.2439612445	5.76389598652
2.7	57.8751179961	29.6318121894	6.35644604121
2.75	59.3761011528	29.9614854926	5.47300777786
2.8	60.8770843096	30.1844997859	4.28790766848
2.85	62.3955207588	30.3687289847	3.29673303154
2.9	63.913957208	30.5238693627	2.09547246613
2.95	65.4498469498	30.6208320989	0.237020021876
3	66.9857366915	30.5335656363	-1.26590238956
3.05	68.5041731408	30.4172103528	-1.31977057635
3.1	70.02260959	30.3784252583	-0.845730532603
3.15	71.5410460392	30.3590327111	-0.743380977701
3.2	73.0594824885	30.3299438902	-1.12045828523
3.25	74.5779189377	30.232981154	-1.3844124005
3.3	76.0789020944	30.1844997859	-1.54063014219
3.35	77.5973385437	30.1166258705	-2.23552975178
3.4	79.0983217004	29.9227003981	-2.27323748254
3.45	80.5818515646	29.8548264827	-1.76687652671
3.5	82.0828347213	29.796648841	-2.07715728262
3.55	83.5663645855	29.6609010103	-2.58190219284
3.6	85.0498944497	29.5057606323	-2.49894518519
3.65	86.5159710214	29.3738913111	-1.73078484156
3.7	87.982047593	29.3360758439	-0.954005588051
3.75	89.4481241647	29.3215314335	-0.524676139335
