Vernier Format 2
1_500g.cmbl 11/20/17 4:33 PM .
Latest
Time	Angle	Velocity	Acceleration
t	Angle	v	a
s	rad	rad/s	rad/s²

0	0	29.20517615	7.99834837457
0.05	1.44862327916	29.5542420004	9.31758026906
0.1	2.93215314335	30.0662052477	10.9470929195
0.15	4.45058959259	30.6790097406	12.119264664
0.2	6.00393262686	31.2898749788	13.0662673878
0.25	7.57472895366	31.978310406	13.942164105
0.3	9.19788515801	32.7346197485	13.9195394665
0.35	10.8559479474	33.3745738076	13.7202271754
0.4	12.5314640293	34.0727055084	13.9410867412
0.45	14.2593399888	34.8193185773	13.3377630492
0.5	16.0221225333	35.4204875419	12.6213161649
0.55	17.8023583703	36.0119602328	13.106129846
0.6	19.6175007924	36.70039566	14.1080781203
0.65	21.4675497995	37.4760975498	14.1888804005
0.7	23.3699586842	38.1742292506	13.2084794009
0.75	25.2898208614	38.7753982151	12.4812588792
0.8	27.2445896236	39.4056560006	12.1580497585
0.85	29.2342649709	39.9777361443	12.249625676
0.9	31.2413936107	40.5789051089	13.2192530383
0.95	33.2834288355	41.3255181778	13.709453538
1	35.3778239379	42.013953605	13.0522616592
1.05	37.4896723328	42.6151225695	12.5405138847
1.1	39.6364273128	43.2550766286	12.1526629398
1.15	41.8180888778	43.8368530459	11.4846974236
1.2	44.0172037353	44.4477182841	9.72859453426
1.25	46.2686784704	44.9034431444	6.11942601934
1.3	48.5201532054	45.0876723432	2.05776473538
1.35	50.789081233	45.0294947015	-0.479426862431
1.4	53.0231026756	44.9325319652	-0.937306450145
1.45	55.2745774107	44.9519245125	-1.42212013125
1.5	57.5260521457	44.835569229	-2.60722024063
1.55	59.7600735883	44.6707325774	-3.4367903172
1.6	61.9940950308	44.476807105	-3.90005672359
1.65	64.2106631809	44.2344002644	-3.44756395456
1.7	66.4097780384	44.1277412546	-2.84424026251
1.75	68.6263461884	43.9822971503	-2.80653253176
1.8	70.8080077534	43.8368530459	-2.65785633622
1.85	73.0071226109	43.7398903097	-2.92342649709
1.9	75.1887841759	43.52657229	-2.90403394985
1.95	77.3529924484	43.435427318	-2.67455547412
2	79.5346540134	43.2987098599	-3.08072160252
2.05	81.6814089933	43.1096325243	-3.4400224084
