Vernier Format 2
1_500g.cmbl 11/20/17 4:38 PM .
Latest
Time	Angle	Velocity	Acceleration
t	Angle	v	a
s	rad	rad/s	rad/s²

0	0	7.776411445	2.19243520235
0.05	0.383972435439	7.88791859165	2.17896815565
0.1	0.785398163397	7.99942573831	2.2285268875
0.15	1.18682389136	8.07699592728	2.83077321581
0.2	1.58824961931	8.25152885248	3.97277877576
0.25	2.00712863979	8.51332824028	4.44951222885
0.3	2.44346095279	8.72664625997	4.29329448716
0.35	2.87979326579	8.93026800604	4.20171856962
0.4	3.33357887131	9.17267484659	3.71690488851
0.45	3.80481776935	9.28903013006	3.5122057787
0.5	4.25860337487	9.47325932888	4.13707674547
0.55	4.74729556542	9.73505871668	4.19633175094
0.6	5.23598775598	9.92898418912	3.68458397643
0.65	5.74213323906	10.0938208407	3.37214849305
0.7	6.24827872214	10.2101761242	4.03472719057
0.75	6.75442420522	10.4816717856	4.95587318468
0.8	7.29547627334	10.7725599943	4.66498497601
0.85	7.83652834145	10.9761817403	3.83002808077
0.9	8.39503370209	11.1410183919	3.22131757004
0.95	8.95353906273	11.2476774017	3.53375305342
1	9.51204442337	11.4900842423	3.99163264114
1.05	10.105456369	11.6840097147	3.85157535548
1.1	10.6814150222	11.8682389136	3.83002808077
1.15	11.2922802604	12.0524681124	4.03472719057
1.2	11.8856922061	12.2560898584	4.49799359696
1.25	12.5140107368	12.5275855199	4.49260677828
1.3	13.1423292675	12.7312072659	4.00240627849
1.35	13.7881010908	12.9154364648	3.67919715775
1.4	14.433872914	13.08996939	3.52836623474
1.45	15.0970980298	13.2645023152	3.49604532267
1.5	15.7603231455	13.4390352404	3.49604532267
1.55	16.4410015538	13.6135681656	3.52836623474
1.6	17.1216799621	13.7881010908	3.67919715775
1.65	17.8198116629	13.9723302896	4.00240627849
1.7	18.5179433637	14.1759520356	4.49260677828
1.75	19.233528357	14.4474476971	4.49260677828
1.8	19.9665666428	14.6510694431	4.00240627849
1.85	20.6996049287	14.835298642	3.67919715775
1.9	21.450096507	15.0098315672	3.52836623474
1.95	22.2005880854	15.1843644924	3.50143214135
2	22.9685329562	15.3588974176	3.52836623474
2.05	23.7364778271	15.5334303427	3.67919715775
2.1	24.5218759905	15.7176595416	4.00240627849
2.15	25.3072741539	15.9212812876	4.4872199596
2.2	26.1101256098	16.1927769491	4.45489904753
2.25	26.9304303583	16.3963986951	3.81925444341
2.3	27.7507351067	16.5709316203	3.21054393268
2.35	28.5884931477	16.7163757247	2.74727752629
2.4	29.4262511886	16.8036421873	3.15667574589
2.45	30.2640092296	16.9878713861	4.3094549432
2.5	31.1192205631	17.2690633211	4.82658953638
2.55	31.9918851891	17.5405589825	4.11552947075
2.6	32.8820031076	17.6666105396	3.50681896003
2.65	33.7546677336	17.8411434648	3.69535761379
2.7	34.6622389446	18.0738540318	3.35060121833
2.75	35.5698101556	18.1805130416	3.00584482288
2.8	36.4773813667	18.3356534196	3.34521439966
2.85	37.4024058702	18.5101863448	3.81386762473
2.9	38.3274303738	18.7138080908	4.27713403112
2.95	39.2699081699	18.9756074786	4.01317991585
3	40.2298392585	19.1501404038	3.18899665796
3.05	41.1897703471	19.24710314	3.18899665796
3.1	42.1497014357	19.4216360652	4.01317991585
3.15	43.1270858168	19.683435453	4.27174721244
3.2	44.1219234904	19.8870571991	3.78154671265
3.25	45.1167611641	20.0615901243	3.19977029532
3.3	46.1290521302	20.2070342286	2.71495661421
3.35	47.1413430964	20.2943006912	3.00584482288
3.4	48.1536340625	20.4688336164	3.98085900378
3.45	49.1833783212	20.7306330042	4.30406812452
3.5	50.2305758724	20.9342547503	3.96469854774
3.55	51.2777734236	21.1184839491	3.67381033907
3.6	52.3424242673	21.2930168743	3.52836623474
3.65	53.407075111	21.4675497995	3.49604532267
3.7	54.4891792473	21.6420827247	3.49065850399
3.75	55.5712833835	21.8166156499	3.49065850399
3.8	56.6708408123	21.9911485751	3.48527168531
3.85	57.770398241	22.1656815003	3.45833759191
3.9	58.8874089623	22.3402144255	3.34521439966
3.95	60.0044196836	22.5050510771	3.19977029532
4	61.1388836974	22.6601914551	3.14590210853
4.05	62.2733477112	22.7765467385	3.77615989398
4.1	63.407811725	23.0383461263	4.28790766848
4.15	64.5771823238	23.2904492405	3.33982758098
4.2	65.7465529226	23.3777157031	2.32710566933
4.25	66.9159235215	23.4455896185	2.62338069667
4.3	68.0852941203	23.61042627	3.37753531173
4.35	69.2721180117	23.8528331106	2.82807980647
4.4	70.4763951955	23.9788846677	0.700286428269
4.45	71.6806723794	23.9013144787	-1.0773637358
4.5	72.8674962708	23.7849591952	-1.24435511485
4.55	74.0543201621	23.7461741007	-0.651805060158
4.6	75.2411440535	23.7364778271	-0.220859565839
4.65	76.4279679448	23.7364778271	-0.0430945494326
4.7	77.6147918362	23.7364778271	-0.0064641824152
4.75	78.8016157275	23.7364778271	-2.10202225996E-13
4.8	79.9884396189	23.7364778271	-7.1054273576E-14
