Vernier Format 2
1_500g.cmbl 11/20/17 4:32 PM .
Latest
Time	Angle	Velocity	Acceleration
t	Angle	v	a
s	rad	rad/s	rad/s²

0	0	26.0635834964	7.65897879779
0.05	1.29154364648	26.3981049364	8.97013046426
0.1	2.61799387799	26.8955237732	10.5996431147
0.15	3.97935069455	27.4501506244	12.2674021777
0.2	5.35816080362	28.1385860516	13.5699349343
0.25	6.78933079026	28.8851991205	13.4196426931
0.3	8.25540736193	29.4960643587	12.9391384669
0.35	9.73893722613	30.1069295969	13.5909435271
0.4	11.2573736754	30.8632389394	14.0811440269
0.45	12.8281700022	31.5710669139	13.5909435271
0.5	14.4164196215	32.2401097938	12.7775339066
0.55	16.0570291183	32.8218862111	12.4597116045
0.6	17.6976386152	33.4230551757	13.2354134943
0.65	19.3906079897	34.1696682446	13.6017171645
0.7	21.1184839491	34.8484073982	12.9122043736
0.75	22.8812664936	35.4398800891	12.5405138847
0.8	24.6615023307	36.0410490537	13.1115166647
0.85	26.4766447528	36.777965849	13.2785080437
0.9	28.3441470524	37.4373124553	12.3896829617
0.95	30.2291026445	37.9609112309	12.384296143
1	32.1315115292	38.6202578372	13.2354134943
1.05	34.0862802914	39.3571746325	12.8906570988
1.1	36.0759556387	39.9486473234	11.8779351872
1.15	38.0830842785	40.5013349199	11.5870469785
1.2	40.1251195033	41.06371879	12.1041815717
1.25	42.1846080207	41.7133691227	12.6590238956
1.3	44.2964564156	42.372715729	12.3627488683
1.35	46.425758103	42.9641884199	11.4416028742
1.4	48.5899663755	43.5653573845	9.28148858391
1.45	50.789081233	43.9919934239	5.27369548674
1.5	53.0056493831	44.0889561601	1.37902558182
1.55	55.2047642406	44.0210822447	-0.495587318468
1.6	57.4038790981	43.9822971503	-1.08813737316
1.65	59.6029939556	43.9338157821	-1.76687652671
1.7	61.8021088131	43.8077642251	-2.45638931762
1.75	63.9837703781	43.6623201207	-2.73650388893
1.8	66.1654319431	43.5556611109	-3.25363848211
1.85	68.3470935081	43.3229505439	-3.43140349852
1.9	70.4938484881	43.1581138924	-2.65677897248
1.95	72.6580567605	43.0805437034	-2.28185639242
2	74.8048117405	42.9544921463	-2.41221740445
2.05	76.9515667204	42.865286429	-3.07048664703
2.1	79.0983217004	42.653907664	-3.87689340327
2.15	81.2101700953	42.4308933707	-4.25989621135
