Vernier Format 2
1_500g.cmbl 11/20/17 4:55 PM .
Latest
Time	Angle	Velocity	Acceleration
t	Angle	v	a
s	rad	rad/s	rad/s²

0	0	4.30514548825	3.43355822599
0.05	0.209439510239	4.46513400302	3.56391923802
0.1	0.436332312999	4.67748239534	3.41147226941
0.15	0.680678408278	4.83844053747	2.76828611914
0.2	0.925024503557	4.92570700007	2.6196099236
0.25	1.16937059884	5.07115110441	3.00907691409
0.3	1.43116998664	5.23598775598	3.30211985022
0.35	1.69296937443	5.41052068118	3.41524304248
0.4	1.97222205475	5.58505360638	3.29673303154
0.45	2.25147473507	5.74989025796	2.97891072948
0.5	2.54818070791	5.89533436229	2.4887102297
0.55	2.84488668075	5.97290455127	2.4887102297
0.6	3.14159265359	6.1183486556	2.97891072948
0.65	3.45575191895	6.28318530718	3.30211985022
0.7	3.76991118431	6.45771823238	3.45295077324
0.75	4.10152374219	6.63225115758	3.47988486663
0.8	4.43313630007	6.80678408278	3.45295077324
0.85	4.78220215046	6.98131700798	3.30211985022
0.9	5.13126800086	7.14615365955	2.97891072948
0.95	5.49778714378	7.29159776389	2.4887102297
1	5.8643062867	7.36916795286	2.48332341102
1.05	6.23082542962	7.5146120572	2.94120299873
1.1	6.61479786506	7.67944870878	3.11896801514
1.15	6.9987703005	7.84428536035	2.97891072948
1.2	7.40019602846	7.98972946469	2.6664752461
1.25	7.80162175641	8.07699592728	2.96275027345
1.3	8.20304748437	8.25152885248	3.79232035001
1.35	8.62192650485	8.50363196666	3.78693353133
1.4	9.05825881785	8.67816489186	2.92504254269
1.45	9.49459113085	8.76543135446	2.4887102297
1.5	9.93092344385	8.90117918517	2.54257841649
1.55	10.3847090494	9.03692701588	2.4887102297
1.6	10.8384946549	9.12419347848	2.92504254269
1.65	11.2922802604	9.29872640368	3.78693353133
1.7	11.7635191584	9.55082951786	3.78693353133
1.75	12.252211349	9.72536244306	2.92504254269
1.8	12.7409035396	9.81262890566	2.4887102297
1.85	13.2295957301	9.94837673637	2.53719159781
1.9	13.7357412132	10.0841245671	2.45638931762
1.95	14.2418866963	10.1713910297	2.77421161968
2	14.7480321794	10.3362276813	3.46372441059
2.05	15.271630955	10.5689382482	3.30211985022
2.1	15.8126830231	10.675597258	2.95736345477
2.15	16.3362817987	10.830737636	3.1297416525
2.2	16.8947871593	10.9955742876	3.18360983929
2.25	17.4358392274	11.1604109391	3.09742074042
2.3	18.0117978806	11.3155513171	2.80653253176
2.35	18.5703032412	11.4125140533	2.97352391081
2.4	19.1462618944	11.625832073	2.94120299873
2.45	19.7396738401	11.7227948092	2.62338069667
2.5	20.3156324932	11.8682389136	2.62338069667
2.55	20.9264977314	12.0039867443	2.36481340008
2.6	21.5199096771	12.0815569332	2.60722024063
2.65	22.1307749153	12.2366973112	3.29673303154
2.7	22.7416401535	12.42092651	3.78693353133
2.75	23.3699586842	12.6633333506	3.41524304248
2.8	24.0157305074	12.7699923604	2.80653253176
2.85	24.6440490382	12.9154364648	2.65570160874
2.9	25.3072741539	13.0511842955	2.33787930668
2.95	25.9530459772	13.1287544844	2.45638931762
3	26.6162710929	13.2741985888	2.96813709213
3.05	27.2794962087	13.4390352404	3.26441211947
3.1	27.9601746169	13.6135681656	3.26441211947
3.15	28.6408530252	13.7784048171	2.96275027345
3.2	29.338984726	13.9238489215	2.39713431215
3.25	30.0371164268	14.0014191104	1.98773609255
3.3	30.7352481276	14.1274706675	1.308996939
3.35	31.4508331209	14.2050408565	-0.65395978763
3.4	32.1664181143	14.0789892994	-2.79952966747
3.45	32.8645498151	13.8365824589	-3.25417716398
3.5	33.5452282233	13.6775635715	-2.21236643146
3.55	34.2259066316	13.628112576	-1.20341529289
3.6	34.9065850399	13.6135681656	-0.606555783254
