Vernier Format 2
1_500g.cmbl 11/20/17 4:42 PM .
Latest
Time	Angle	Velocity	Acceleration
t	Angle	v	a
s	rad	rad/s	rad/s²

0	0	11.2864624962	3.95823436533
0.05	0.558505360638	11.4609954214	4.52600505409
0.1	1.1344640138	11.7111592809	5.18427429666
0.15	1.72787595947	12.0039867443	5.45038313941
0.2	2.33874119767	12.2560898584	5.68093897887
0.25	2.94960643587	12.5663706144	5.94273836667
0.3	3.59537825911	12.8766513703	5.78544326124
0.35	4.24115008235	13.1287544844	5.90395327218
0.4	4.9043751981	13.448731514	6.27564376103
0.45	5.58505360638	13.7784048171	6.28103057971
0.5	6.28318530718	14.0983818467	5.94166100293
0.55	6.9987703005	14.3504849608	5.96320827765
0.6	7.71435529381	14.6704619904	6.39415377197
0.65	8.46484687217	15.0098315672	6.42108786536
0.7	9.21533845053	15.3395048703	5.95243464029
0.75	10.0007366139	15.630393079	5.12286456372
0.8	10.7861347773	15.7952297305	5.30062958013
0.85	11.5715329407	16.1055104865	6.44263514008
0.9	12.3918376892	16.503057705	6.56653196969
0.95	13.2295957301	16.78424964	6.22716239292
1	14.0673537711	17.1042266695	6.1301996567
1.05	14.9400183971	17.4145074255	5.79083007992
1.1	15.8126830231	17.6666105396	5.75850916785
1.15	16.7028009416	17.9768912955	5.95243464029
1.2	17.6103721526	18.2871720515	5.79083007992
1.25	18.5353966562	18.5392751656	5.93088736557
1.3	19.4604211597	18.8592521952	6.38876695329
1.35	20.4203522483	19.1986217719	6.42108786536
1.4	21.3802833369	19.5282950751	5.95243464029
1.45	22.3751210106	19.8191832838	5.12286456372
1.5	23.3699586842	19.9840199353	5.30062958013
1.55	24.3647963578	20.2943006912	6.4372483214
1.6	25.3945406165	20.6918479098	6.52882423894
1.65	26.4417381677	20.9730398448	6.04401055783
1.7	27.4889357189	21.2833206007	5.65615961294
1.75	28.5710398551	21.5645125358	4.96664682203
1.8	29.6531439914	21.7293491873	5.18211956919
1.85	30.7352481276	22.0396299432	5.97936873368
1.9	31.8522588489	22.4177846145	5.11209092637
1.95	32.9867228627	22.6214063606	2.88733481194
2	34.1211868765	22.6795840023	0.958853724862
2.05	35.2556508903	22.6795840023	-0.242406840555
2.1	36.3901149041	22.6504951814	-1.17432647202
2.15	37.5245789179	22.5438361716	-1.70223470256
2.2	38.6415896392	22.4759622562	-2.06315155405
2.25	39.776053653	22.3402144255	-2.38636067479
2.3	40.8756110817	22.2044665948	-2.10085928481
2.35	41.992621803	22.1365926795	-1.89885358435
2.4	43.0921792317	22.020237396	-1.79650402944
2.45	44.1917366605	21.9620597543	-1.82128339537
2.5	45.2912940893	21.8505526076	-2.07123178207
2.55	46.3733982255	21.739045461	-2.17088792763
