Vernier Format 2
1_500g.cmbl 11/20/17 4:56 PM .
Latest
Time	Angle	Velocity	Acceleration
t	Angle	v	a
s	rad	rad/s	rad/s²

0	0	3.91729454337	1.70115733883
0.05	0.191986217719	4.00940914278	1.66021751687
0.1	0.401425727959	4.06079939297	1.89238940193
0.15	0.593411945678	4.18879020479	2.2856271655
0.2	0.820304748437	4.3245380355	2.07985069196
0.25	1.02974425868	4.39241195085	1.92955845082
0.3	1.25663706144	4.50876723432	1.93386790576
0.35	1.4835298642	4.57664114967	2.11163292217
0.4	1.71042266695	4.71238898038	2.42406840555
0.45	1.95476876223	4.8481368111	2.25169020782
0.5	2.19911485751	4.92570700007	2.22475611442
0.55	2.44346095279	5.06145483078	2.27323748254
0.6	2.70526034059	5.18750638787	1.78842380143
0.65	2.96705972839	5.23598775598	1.44905422465
0.7	3.22885911619	5.28446912409	1.96618881783
0.75	3.49065850399	5.4202169548	2.74727752629
0.8	3.76991118431	5.58505360638	3.03816573495
0.85	4.04916386463	5.74989025796	2.74727752629
0.9	4.34586983747	5.88563808867	1.97157563651
0.95	4.6425758103	5.93411945678	1.48137513672
1	4.93928178314	5.98260082489	1.93386790576
1.05	5.23598775598	6.1183486556	2.56951250988
1.1	5.55014702134	6.27348903356	2.59644660328
1.15	5.8643062867	6.40923686427	2.07931201009
1.2	6.19591884458	6.467414506	1.76687652671
1.25	6.51007810994	6.53528842136	2.27862430121
1.3	6.84169066782	6.7292138938	2.27323748254
1.35	7.19075651822	6.79708780916	1.72916879596
1.4	7.5223690761	6.85526545089	1.90154699369
1.45	7.87143492649	6.98131700798	2.16011429028
1.5	8.22050077689	7.10736856507	1.93925472444
1.55	8.58701991981	7.1655462068	1.91232063104
1.6	8.93608577021	7.24311639578	2.74727752629
1.65	9.30260491313	7.46613068909	3.08664710306
1.7	9.68657734857	7.62127106704	2.22475611442
1.75	10.070549784	7.67944870878	1.44366740597
1.8	10.4545222194	7.71823380326	1.49214877408
1.85	10.8384946549	7.82489281311	1.75610288935
1.9	11.2399203828	7.89276672846	2.07392519141
1.95	11.6238928183	8.02851455917	2.41868158687
2	12.0427718388	8.16426238988	2.25169020782
2.05	12.4441975667	8.24183257886	2.2301429331
2.1	12.8630765872	8.37758040957	2.30555839461
2.15	13.2819556077	8.50363196666	1.93386790576
2.2	13.7182879207	8.56180960839	1.73455561464
2.25	14.1371669412	8.62968352375	2.27323748254
2.3	14.5734992542	8.82360899619	2.27862430121
2.35	15.0272848597	8.89148291155	1.76687652671
2.4	15.4636171727	8.94966055328	2.07931201009
2.45	15.9174027782	9.08540838399	2.59644660328
2.5	16.3711883837	9.24054876195	2.56951250988
2.55	16.8424272817	9.37629659266	1.92848108708
2.6	17.3136661798	9.42477796077	1.44366740597
2.65	17.7849050778	9.47325932888	1.78842380143
2.7	18.2561439759	9.59931088597	2.27323748254
2.75	18.7448361664	9.73505871668	2.21936929575
2.8	19.233528357	9.81262890566	2.21936929575
2.85	19.7222205475	9.94837673637	2.27323748254
2.9	20.2283660306	10.0744282935	1.78842380143
2.95	20.7345115137	10.1229096616	1.44366740597
3	21.2406569968	10.1713910297	1.92848108708
3.05	21.7468024798	10.3071388604	2.56951250988
3.1	22.2704012554	10.4622792383	2.59644660328
3.15	22.794000031	10.5980270691	2.07931201009
3.2	23.3350520992	10.6562047108	1.76687652671
3.25	23.8586508748	10.7240786261	2.27862430121
3.3	24.3997029429	10.9180040986	2.27323748254
3.35	24.9582083035	10.9858780139	1.72916879596
3.4	25.4992603716	11.0440556557	1.89616017501
3.45	26.0577657323	11.1701072128	2.12240655952
3.5	26.6162710929	11.2961587699	1.75610288935
3.55	27.1922297461	11.344640138	1.43828058729
3.6	27.7507351067	11.3931215061	1.93386790576
3.65	28.3266937599	11.5288693368	2.59644660328
3.7	28.902652413	11.6840097147	2.70418297686
3.75	29.4960643587	11.8294538191	2.17627474631
3.8	30.0894763044	11.8973277344	1.54601696087
3.85	30.6828882501	11.9942904706	0.678739153553
3.9	31.2937534883	11.9942904706	-0.673352334874
3.95	31.8871654339	11.8973277344	-1.5136960488
4	32.4805773796	11.8294538191	-2.03083064198
4.05	33.0739893253	11.6937059884	-2.41329476819
4.1	33.6499479785	11.5579581577	-2.24953548035
4.15	34.2259066316	11.4803879687	-2.21021170399
4.2	34.8018652848	11.344640138	-2.20267015784
4.25	35.3603706454	11.2224670903	-1.57564446361
4.3	35.918876006	11.1846516232	-0.908217629279
4.35	36.4773813667	11.1701072128	-0.513902501977
