Vernier Format 2
1_500g.cmbl 11/20/17 4:41 PM .
Latest
Time	Angle	Velocity	Acceleration
t	Angle	v	a
s	rad	rad/s	rad/s²

0	0	11.2864624962	3.95823436533
0.05	0.558505360638	11.4609954214	4.52600505409
0.1	1.1344640138	11.7111592809	5.18427429666
0.15	1.72787595947	12.0039867443	5.45038313941
0.2	2.33874119767	12.2560898584	5.68093897887
0.25	2.94960643587	12.5663706144	5.94273836667
0.3	3.59537825911	12.8766513703	5.78544326124
0.35	4.24115008235	13.1287544844	5.90395327218
0.4	4.9043751981	13.448731514	6.27564376103
0.45	5.58505360638	13.7784048171	6.28103057971
0.5	6.28318530718	14.0983818467	5.94166100293
0.55	6.9987703005	14.3504849608	5.96859509633
0.6	7.71435529381	14.6704619904	6.42647468404
0.65	8.46484687217	15.0098315672	6.56653196969
0.7	9.21533845053	15.3492011439	6.24870966763
0.75	10.0007366139	15.6594818998	5.49455505257
0.8	10.7861347773	15.8824961931	5.1282513824
0.85	11.5889862332	16.1152067601	5.79083007992
0.9	12.3918376892	16.4448800632	6.76584426082
0.95	13.2295957301	16.8521235554	6.71197607403
1	14.0848070636	17.1333154904	6.22177557424
1.05	14.9400183971	17.4532925199	5.95782145897
1.1	15.8301363156	17.7538770022	5.34911094824
1.15	16.7202542341	17.9768912955	5.09593047033
1.2	17.6278254451	18.2096018625	5.78544326124
1.25	18.5353966562	18.5392751656	6.76045744214
1.3	19.4778744523	18.9465186578	6.67965516195
1.35	20.4378055409	19.2277105928	6.07633146991
1.4	21.3977366295	19.5379913487	5.66154643162
1.45	22.3925743031	19.8191832838	4.97742045939
1.5	23.3874119767	19.9840199353	5.26830866806
1.55	24.3822496504	20.2943006912	6.4372483214
1.6	25.411993909	20.6918479098	6.56114515102
1.65	26.4591914602	20.9730398448	6.18945466217
1.7	27.5063890114	21.2930168743	5.95243464029
1.75	28.5884931477	21.5936013566	5.34372412956
1.8	29.6705972839	21.8166156499	5.04206228354
1.85	30.7701547127	22.0493262169	5.4622341405
1.9	31.8697121414	22.3693032464	5.52687596465
1.95	33.0041761552	22.7183690968	3.34521439966
2	34.1560934615	22.7765467385	-0.219782202103
2.05	35.2905574753	22.6407989078	-2.68479042961
2.1	36.4250214891	22.3983920673	-2.89379899436
2.15	37.5245789179	22.2645834913	-1.32192530383
2.2	38.6415896392	22.301429331	-0.157833787294
2.25	39.7586003604	22.3208218783	0.295197663609
