Vernier Format 2
1_500g.cmbl 11/20/17 4:30 PM .
Latest
Time	Angle	Velocity	Acceleration
t	Angle	v	a
s	rad	rad/s	rad/s²

0	0	27.8089127484	7.98757473721
0.05	1.37881010908	28.1579785988	9.26371208227
0.1	2.79252680319	28.6699418461	10.7563995382
0.15	4.24115008235	29.2730500654	11.6721587136
0.2	5.72467994654	29.8548264827	12.3552073221
0.25	7.22566310326	30.4656917209	13.521992248
0.3	8.76155284501	31.2316973371	14.0919176643
0.35	10.3498024643	31.978310406	12.9175911922
0.4	11.9729586687	32.5019091816	12.0880211157
0.45	13.596114873	33.0836855989	12.971459379
0.5	15.271630955	33.8206023942	13.6017171645
0.55	16.9820536219	34.5090378214	13.1707716701
0.6	18.7273828739	35.1199030596	12.8744966428
0.65	20.4901654184	35.7792496659	12.7829207253
0.7	22.3053078405	36.4288999986	12.2603993134
0.75	24.1379035551	37.0009801423	11.8833220059
0.8	26.0054058547	37.573060286	12.2550124947
0.85	27.8903614469	38.2227106187	12.7452129945
0.9	29.8276769166	38.882057225	12.6913448077
0.95	31.7824456788	39.4832261896	12.6913448077
1	33.7721210261	40.1425727959	12.7452129945
1.05	35.7967029584	40.7922231286	12.2550124947
1.1	37.8561914758	41.3643032723	11.8671615498
1.15	39.9331332856	41.936383416	12.1203420277
1.2	42.0449816805	42.5860337487	12.0072188355
1.25	44.1917366605	43.2162915341	10.2349554901
1.3	46.3733982255	43.6914089416	6.74968380478
1.35	48.572513083	43.9047269613	2.94120299873
1.4	50.7716279405	43.9338157821	0.204699109802
1.45	52.970742798	43.8465493195	-0.915759175429
1.5	55.152404363	43.8077642251	-1.23358147749
1.55	57.3515192205	43.7592828569	-2.07931201009
1.6	59.5331807855	43.6138387526	-3.11358119646
1.65	61.7148423505	43.4296095538	-3.78693353133
1.7	63.879050623	43.1872027132	-3.59839487757
1.75	66.0258056029	43.0708474298	-3.31828030626
1.8	68.1900138754	42.8963145046	-3.65764988304
1.85	70.3193155629	42.6636039376	-3.33982758098
1.9	72.4486172503	42.5569449278	-2.96813709213
1.95	74.5779189377	42.4018045498	-3.16206256457
2	76.6897673326	42.2369678983	-3.33982758098
2.05	78.8016157275	42.0624349731	-3.45833759191
2.1	80.8960108299	41.8879020479	-3.48527168531
2.15	82.9904059323	41.7133691227	-3.49065850399
2.2	85.0673477422	41.5388361975	-3.49065850399
2.25	87.1442895521	41.3643032723	-3.48527168531
2.3	89.2037780694	41.1897703471	-3.45295077324
2.35	91.2632665868	41.0152374219	-3.3075066689
2.4	93.3053018116	40.8504007703	-3.01123164156
2.45	95.3473370365	40.704956666	-2.63415433403
2.5	97.3719189688	40.6176902034	-2.76667007353
2.55	99.4139541936	40.4528535518	-3.23101384366
2.6	101.421082833	40.2298392585	-2.53934632528
2.65	103.428211473	40.1658438526	-1.27021184451
2.7	105.435340113	40.1425727959	-0.568848052502
2.75	107.442468753	40.1425727959	-0.174532925199
