Vernier Format 2
1_500g.cmbl 11/20/17 4:34 PM .
Latest
Time	Angle	Velocity	Acceleration
t	Angle	v	a
s	rad	rad/s	rad/s²

0	0	28.1773711461	8.90010182144
0.05	1.3962634016	28.5603739542	10.3631617747
0.1	2.82743338823	29.1586340367	11.8310698647
0.15	4.31096325243	29.796648841	12.4311614655
0.2	5.81194640914	30.4075140792	12.9116656917
0.25	7.3478361509	31.0765569591	13.4551956964
0.3	8.91863247769	31.7649923863	13.7794821809
0.35	10.5243353895	32.4631240871	13.9195394665
0.4	12.1649448864	33.1612557879	13.9195394665
0.45	13.8404609683	33.8593874887	13.7794821809
0.5	15.5508836353	34.5478229159	13.4832071535
0.55	17.2962128873	35.2168657958	13.106129846
0.6	19.0764487243	35.827731034	13.2461871316
0.65	20.8741378539	36.5161664612	13.7525480875
0.7	22.724186861	37.2627795301	13.2623475877
0.75	24.6091424531	37.8639484947	12.4273906924
0.8	26.5115513378	38.445724912	12.5943820715
0.85	28.4488668075	39.1050715183	13.1115166647
0.9	30.4210888623	39.7838106718	13.2246398569
0.95	32.4282175021	40.4528535518	12.8798834615
1	34.4702527269	41.0540225164	12.7613734505
1.05	36.5297412442	41.7133691227	12.8960439175
1.1	38.6415896392	42.372715729	12.535127066
1.15	40.7708913266	42.9641884199	12.1203420277
1.2	42.9350995991	43.5944462054	11.344640138
1.25	45.1342144566	44.1374375282	9.62624497936
1.3	47.3507826066	44.6028586621	6.87896745308
1.35	49.6022573417	44.8840505971	3.04355255363
1.4	51.8537320768	44.8646580499	0.0107736373577
1.45	54.0877535193	44.8161766818	-1.59449832898
1.5	56.3392282544	44.6804288511	-2.47793659234
1.55	58.5557964044	44.5349847467	-2.57489932856
1.6	60.789817847	44.4380220105	-2.79037207572
1.65	63.006385997	44.2344002644	-2.65031479007
1.7	65.2055008545	44.1568300755	-2.32171885065
1.75	67.4220690045	44.0695636129	-3.1297416525
1.8	69.6211838621	43.8368530459	-3.82464126209
1.85	71.802845427	43.6429275735	-3.77615989398
1.9	73.984506992	43.4586983747	-3.59085333142
1.95	76.1487152645	43.2841654495	-3.28218862111
2	78.312923537	43.1193287979	-2.7251915697
2.05	80.4596785169	42.9874594766	-1.77926620967
2.1	82.6064334969	42.9496440095	-0.962085816068
2.15	84.7531884768	42.9350995991	-0.524676139333
